txnDate,projectId,vendor,category,amount,source,sourceRef,description
2026-02-08,,BANNER SUPPLY CO.,material,227.99,ingestion,46276d4c-1226-47d1-bd08-116db1103191,Invoice total - BANNER SUPPLY CO.
2026-02-08,,BANNER SUPPLY CO.,material,227.99,ingestion,d60a7a6b-e3f6-444c-a026-6af10fb3fdcb,Invoice total - BANNER SUPPLY CO.
